locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_03283,CDS,1452,arnT_3,2.4.2.43,,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
GMHGOCAD_03284,CDS,1035,aruG_2,2.3.1.109,COG3138,Arginine N-succinyltransferase subunit beta
GMHGOCAD_03287,CDS,762,hisP_2,,COG4598,Histidine transport ATP-binding protein HisP
GMHGOCAD_03288,CDS,711,hisM_2,,COG4160,Histidine transport system permease protein HisM
GMHGOCAD_03289,CDS,735,hisQ_3,,COG4215,Histidine transport system permease protein HisQ
GMHGOCAD_03290,CDS,780,argT_3,,COG0834,Lysine/arginine/ornithine-binding periplasmic protein
GMHGOCAD_03291,CDS,1107,menB_1,4.1.3.36,,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
GMHGOCAD_03293,CDS,765,gdhI,1.1.1.47,COG1028,Glucose 1-dehydrogenase 1
GMHGOCAD_03295,CDS,1128,mmgC_4,1.3.99.-,COG1960,Acyl-CoA dehydrogenase
GMHGOCAD_03298,CDS,1665,acsA_1,6.2.1.1,COG0365,Acetyl-coenzyme A synthetase
GMHGOCAD_03300,CDS,939,pfkB,2.7.1.11,COG0524,ATP-dependent 6-phosphofructokinase
GMHGOCAD_03301,CDS,1302,nicP_3,,,Porin-like protein NicP
GMHGOCAD_03302,CDS,1371,rkpK_2,1.1.1.22,COG1004,UDP-glucose 6-dehydrogenase
GMHGOCAD_03305,CDS,645,yveL,2.7.10.2,COG0489,Putative tyrosine-protein kinase YveL
GMHGOCAD_03308,CDS,1101,mshA_2,2.4.1.250,,D-inositol-3-phosphate glycosyltransferase
GMHGOCAD_03317,CDS,768,chbG,3.5.1.105,COG3394,Chitooligosaccharide deacetylase ChbG
GMHGOCAD_03320,CDS,1047,ilvA_1,4.3.1.19,COG1171,L-threonine dehydratase biosynthetic IlvA
GMHGOCAD_03326,CDS,1146,yliI,1.1.5.-,COG2133,Aldose sugar dehydrogenase YliI
GMHGOCAD_03330,CDS,1209,ybjJ_1,,,Inner membrane protein YbjJ
GMHGOCAD_03331,CDS,660,nimR_4,,,HTH-type transcriptional regulator NimR
GMHGOCAD_03340,CDS,1188,yhhS_2,,,putative MFS-type transporter YhhS
GMHGOCAD_03342,CDS,612,azoR1_2,1.7.1.17,COG1182,FMN-dependent NADH-azoreductase 1
GMHGOCAD_03343,CDS,909,dmlR_12,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03347,CDS,1638,mcpP,,COG0840,Methyl-accepting chemotaxis protein McpP
GMHGOCAD_03348,CDS,564,pnuC,,COG3201,Nicotinamide riboside transporter PnuC
GMHGOCAD_03353,CDS,681,lagD,3.4.22.-,,Lactococcin-G-processing and transport ATP-binding protein LagD
GMHGOCAD_03356,CDS,1326,zraR_1,,COG2204,Transcriptional regulatory protein ZraR
GMHGOCAD_03358,CDS,2148,plcN_2,3.1.4.3,COG3511,Non-hemolytic phospholipase C
GMHGOCAD_03360,CDS,1503,nhaB,,COG3067,Na(+)/H(+) antiporter NhaB
GMHGOCAD_03361,CDS,822,yidA,3.1.3.23,COG0561,Sugar phosphatase YidA
GMHGOCAD_03362,CDS,1518,zwf_1,1.1.1.49,COG0364,Glucose-6-phosphate 1-dehydrogenase
GMHGOCAD_03365,CDS,1749,eptC,2.7.-.-,COG2194,Phosphoethanolamine transferase EptC
GMHGOCAD_03367,CDS,675,czcR_1,,,Transcriptional activator protein CzcR
GMHGOCAD_03368,CDS,1428,czcS,2.7.13.3,,Sensor protein CzcS
GMHGOCAD_03370,CDS,1167,zapE_1,,COG1485,Cell division protein ZapE
GMHGOCAD_03373,CDS,2442,iutA,,,Ferric aerobactin receptor
GMHGOCAD_03375,CDS,513,fecI_6,,COG1595,putative RNA polymerase sigma factor FecI
GMHGOCAD_03376,CDS,1440,xanP,,COG2233,Xanthine permease XanP
GMHGOCAD_03378,CDS,909,glsA2,3.5.1.2,COG2066,Glutaminase 2
GMHGOCAD_03381,CDS,909,dmlR_13,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03384,CDS,948,nodD2_3,,,Nodulation protein D 2
GMHGOCAD_03387,CDS,1038,dpkA_2,1.5.1.21,COG2055,Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase
GMHGOCAD_03390,CDS,2337,pvdQ,3.5.1.97,COG2366,Acyl-homoserine lactone acylase PvdQ
GMHGOCAD_03394,CDS,915,dmlR_14,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03395,CDS,996,iolS,1.1.1.-,COG0667,Aldo-keto reductase IolS
GMHGOCAD_03397,CDS,1995,mcpH,,,Methyl-accepting chemotaxis protein McpH
GMHGOCAD_03400,CDS,1815,copA_3,,,Copper resistance protein A
GMHGOCAD_03401,CDS,897,copB,,,Copper resistance protein B
GMHGOCAD_03402,CDS,384,copC,,,Copper resistance protein C
GMHGOCAD_03403,CDS,921,copD,,,Copper resistance protein D
GMHGOCAD_03405,CDS,435,yqaA,,COG1238,Inner membrane protein YqaA
GMHGOCAD_03406,CDS,1566,glgA,2.4.1.21,COG0297,Glycogen synthase
GMHGOCAD_03407,CDS,1785,glgB_1,2.4.1.18,,"1,4-alpha-glucan branching enzyme GlgB"
GMHGOCAD_03414,CDS,2232,glgB_2,2.4.1.18,COG0296,"1,4-alpha-glucan branching enzyme GlgB"
GMHGOCAD_03416,CDS,2007,glgE1,2.4.99.16,COG0366,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1"
GMHGOCAD_03421,CDS,1437,norG_2,,COG1167,HTH-type transcriptional regulator NorG
GMHGOCAD_03426,CDS,747,ygfF,1.-.-.-,,putative oxidoreductase YgfF
GMHGOCAD_03428,CDS,1494,oprM_3,,COG1538,Outer membrane protein OprM
GMHGOCAD_03429,CDS,3108,mdtC_2,,COG0841,Multidrug resistance protein MdtC
GMHGOCAD_03430,CDS,3093,mdtB_2,,COG0841,Multidrug resistance protein MdtB
GMHGOCAD_03431,CDS,1332,mdtA_7,,,Multidrug resistance protein MdtA
GMHGOCAD_03437,CDS,1671,sir_1,1.8.7.1,COG0155,Sulfite reductase [ferredoxin]
GMHGOCAD_03438,CDS,1428,ccoN1_3,1.9.3.1,COG3278,Cbb3-type cytochrome c oxidase subunit CcoN1
GMHGOCAD_03440,CDS,771,rhaS_8,,,HTH-type transcriptional activator RhaS
GMHGOCAD_03441,CDS,693,ygeA,5.1.1.13,,L-aspartate/glutamate-specific racemase
GMHGOCAD_03442,CDS,519,aaaT,2.3.1.-,COG0454,L-amino acid N-acetyltransferase AaaT
GMHGOCAD_03444,CDS,957,surA_2,5.2.1.8,,Chaperone SurA
GMHGOCAD_03449,CDS,423,exbD_3,,COG0848,Biopolymer transport protein ExbD
GMHGOCAD_03450,CDS,1818,tolQ_4,,,Tol-Pal system protein TolQ
GMHGOCAD_03456,CDS,1104,potF,,COG0687,Putrescine-binding periplasmic protein
GMHGOCAD_03457,CDS,738,malT_2,,,HTH-type transcriptional regulator MalT
GMHGOCAD_03458,CDS,666,gntR_2,,,putative D-xylose utilization operon transcriptional repressor
GMHGOCAD_03459,CDS,1374,abaF_2,,,Fosfomycin resistance protein AbaF
GMHGOCAD_03460,CDS,945,dapA_4,4.3.3.7,,4-hydroxy-tetrahydrodipicolinate synthase
GMHGOCAD_03471,CDS,2121,btuB_5,,,Vitamin B12 transporter BtuB
GMHGOCAD_03472,CDS,1572,lyx,2.7.1.-,COG1070,L-xylulose/3-keto-L-gulonate kinase
GMHGOCAD_03473,CDS,1596,glpD_1,1.1.5.3,COG0578,Aerobic glycerol-3-phosphate dehydrogenase
GMHGOCAD_03477,CDS,909,dmlR_15,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03478,CDS,1206,mdrP_2,,,"Na(+), Li(+), K(+)/H(+) antiporter"
GMHGOCAD_03482,CDS,798,dpgD,4.2.1.17,,Enoyl-CoA-hydratase
GMHGOCAD_03485,CDS,1182,phoA2_1,3.1.3.1,,Alkaline phosphatase L
GMHGOCAD_03486,CDS,1185,phoA2_2,3.1.3.1,,Alkaline phosphatase L
GMHGOCAD_03487,CDS,1212,epsF_2,,COG1459,Type II secretion system protein F
GMHGOCAD_03488,CDS,1422,hxcR,,COG2804,putative type II secretion system protein HxcR
GMHGOCAD_03497,CDS,612,xcpW,,COG4795,Type II secretion system protein J
GMHGOCAD_03503,CDS,627,azoR1_3,1.7.1.17,COG1182,FMN-dependent NADH-azoreductase 1
GMHGOCAD_03505,CDS,1434,gabR_4,,COG1167,HTH-type transcriptional regulatory protein GabR
GMHGOCAD_03508,CDS,1533,stp_4,,,Multidrug resistance protein Stp
GMHGOCAD_03509,CDS,900,pgrR_2,,,HTH-type transcriptional regulator PgrR
GMHGOCAD_03512,CDS,750,dhbF_2,,COG1020,Dimodular nonribosomal peptide synthase
GMHGOCAD_03513,CDS,1443,stp_5,,,Multidrug resistance protein Stp
GMHGOCAD_03515,CDS,4860,gdhB,1.4.1.2,COG2902,NAD-specific glutamate dehydrogenase
GMHGOCAD_03523,CDS,1746,apc4,6.4.1.8,COG0146,Acetophenone carboxylase delta subunit
GMHGOCAD_03524,CDS,2091,apc3,6.4.1.8,COG0145,Acetophenone carboxylase gamma subunit
GMHGOCAD_03525,CDS,972,nphR_1,,,Transcriptional activator NphR
GMHGOCAD_03526,CDS,1245,sbcD,,COG0420,Nuclease SbcCD subunit D
GMHGOCAD_03530,CDS,840,araC,,,Arabinose operon regulatory protein
GMHGOCAD_03532,CDS,1026,kdgR_2,,COG1609,HTH-type transcriptional regulator KdgR
GMHGOCAD_03534,CDS,957,kdgK_1,2.7.1.45,COG0524,2-dehydro-3-deoxygluconokinase
GMHGOCAD_03535,CDS,1296,ttuB_2,,,Putative tartrate transporter
GMHGOCAD_03536,CDS,981,ghrB_2,1.1.1.79,COG1052,Glyoxylate/hydroxypyruvate reductase B
GMHGOCAD_03537,CDS,1173,aruH_2,2.6.1.84,COG0436,Arginine--pyruvate transaminase AruH
GMHGOCAD_03539,CDS,1563,hpaB,1.14.14.9,COG2368,4-hydroxyphenylacetate 3-monooxygenase oxygenase component
GMHGOCAD_03540,CDS,513,hpaC,1.5.1.37,COG1853,4-hydroxyphenylacetate 3-monooxygenase reductase component
GMHGOCAD_03545,CDS,975,nphR_2,,,Transcriptional activator NphR
GMHGOCAD_03547,CDS,1266,exuT_2,,,Hexuronate transporter
GMHGOCAD_03548,CDS,1065,gutB,1.1.1.-,COG1063,Sorbitol dehydrogenase
GMHGOCAD_03549,CDS,1302,oprB_1,,COG3659,Porin B
GMHGOCAD_03550,CDS,1662,alkJ_3,1.1.99.-,,Alcohol dehydrogenase [acceptor]
GMHGOCAD_03553,CDS,672,hpcE_1,,COG0179,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
GMHGOCAD_03554,CDS,780,hpcE_2,,COG0179,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
GMHGOCAD_03555,CDS,1461,betB_1,1.2.1.8,COG1012,NAD/NADP-dependent betaine aldehyde dehydrogenase
GMHGOCAD_03556,CDS,858,hpcB,1.13.11.15,COG3384,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
GMHGOCAD_03557,CDS,387,hpcD,5.3.3.10,,5-carboxymethyl-2-hydroxymuconate Delta-isomerase
GMHGOCAD_03558,CDS,1308,nicT_1,,,Putative metabolite transport protein NicT
GMHGOCAD_03559,CDS,804,hpcG_1,4.2.1.163,,"2-oxo-hept-4-ene-1,7-dioate hydratase"
GMHGOCAD_03560,CDS,801,hpcH_1,4.1.2.52,COG3836,"4-hydroxy-2-oxo-heptane-1,7-dioate aldolase"
GMHGOCAD_03562,CDS,1122,cdaR,,COG3835,Carbohydrate diacid regulator
GMHGOCAD_03563,CDS,1311,nicT_2,,,Putative metabolite transport protein NicT
GMHGOCAD_03565,CDS,732,tsaC1_1,1.2.1.62,,4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
GMHGOCAD_03566,CDS,900,dmlR_16,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03567,CDS,1014,yajO,1.1.-.-,COG0667,1-deoxyxylulose-5-phosphate synthase YajO
GMHGOCAD_03568,CDS,882,rarD_1,,COG2962,Protein RarD
GMHGOCAD_03569,CDS,366,farR,,,HTH-type transcriptional regulator FarR
GMHGOCAD_03572,CDS,894,cmpR_3,,,HTH-type transcriptional activator CmpR
GMHGOCAD_03573,CDS,1539,pdeG,3.1.4.52,,putative cyclic di-GMP phosphodiesterase PdeG
GMHGOCAD_03576,CDS,522,gloA,4.4.1.5,,Lactoylglutathione lyase
GMHGOCAD_03578,CDS,564,ahpC_1,1.11.1.15,COG0450,Alkyl hydroperoxide reductase C
GMHGOCAD_03579,CDS,939,xerC_4,,,Tyrosine recombinase XerC
GMHGOCAD_03580,CDS,1005,smc_3,,,Chromosome partition protein Smc
GMHGOCAD_03581,CDS,1359,garB,1.8.1.16,,Glutathione amide reductase
GMHGOCAD_03582,CDS,840,gtaB,2.7.7.9,COG1210,UTP--glucose-1-phosphate uridylyltransferase
GMHGOCAD_03585,CDS,921,tsdA,1.8.2.2,COG3258,Thiosulfate dehydrogenase
GMHGOCAD_03591,CDS,735,alkB_2,1.14.11.33,COG3145,Alpha-ketoglutarate-dependent dioxygenase AlkB
GMHGOCAD_03592,CDS,1074,ada_2,,COG0350,Bifunctional transcriptional activator/DNA repair enzyme Ada
GMHGOCAD_03594,CDS,1065,nmoA,1.13.12.-,COG2070,Nitronate monooxygenase
GMHGOCAD_03603,CDS,771,aphA_1,2.7.1.95,,Aminoglycoside 3'-phosphotransferase
GMHGOCAD_03607,CDS,714,yedK_1,3.4.-.-,COG2135,SOS response-associated protein YedK
GMHGOCAD_03609,CDS,1209,sotB_1,,,Sugar efflux transporter B
GMHGOCAD_03610,CDS,384,crcB_1,,COG0239,Putative fluoride ion transporter CrcB
GMHGOCAD_03614,CDS,612,kefF_2,1.6.5.2,,Glutathione-regulated potassium-efflux system ancillary protein KefF
GMHGOCAD_03618,CDS,1269,fabF_4,2.3.1.179,COG0304,3-oxoacyl-[acyl-carrier-protein] synthase 2
GMHGOCAD_03623,CDS,636,cat_1,2.3.1.28,COG0110,Chloramphenicol acetyltransferase
GMHGOCAD_03625,CDS,1116,nrdB_1,1.17.4.1,COG0208,Ribonucleoside-diphosphate reductase subunit beta
GMHGOCAD_03628,CDS,1365,puuP_4,,COG0531,Putrescine importer PuuP
GMHGOCAD_03629,CDS,870,pip_3,3.4.11.5,,Proline iminopeptidase
GMHGOCAD_03630,CDS,1170,ycaD_2,,,putative MFS-type transporter YcaD
GMHGOCAD_03631,CDS,1158,tet(X),1.14.13.231,,Flavin-dependent monooxygenase
GMHGOCAD_03639,CDS,726,rutD_1,3.5.1.-,,Putative aminoacrylate hydrolase RutD
GMHGOCAD_03640,CDS,945,syrM1,,,HTH-type transcriptional regulator SyrM 1
GMHGOCAD_03641,CDS,1497,hudA,4.1.1.-,COG0043,UbiD-like decarboxylase
GMHGOCAD_03644,CDS,867,hcaB_6,1.3.1.87,,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
GMHGOCAD_03645,CDS,840,hcaB_7,1.3.1.87,,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
GMHGOCAD_03646,CDS,945,aidA,,,Quorum-quenching protein AidA
GMHGOCAD_03647,CDS,843,hcaB_8,1.3.1.87,,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
GMHGOCAD_03648,CDS,1011,virS_7,,,HTH-type transcriptional regulator VirS
GMHGOCAD_03649,CDS,510,proQ,,,RNA chaperone ProQ
GMHGOCAD_03655,CDS,870,hsaD,3.7.1.17,,"4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase"
GMHGOCAD_03656,CDS,996,todE,1.13.11.-,,"3-methylcatechol 2,3-dioxygenase"
GMHGOCAD_03657,CDS,1740,mhpA_3,1.14.13.127,COG0654,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
GMHGOCAD_03658,CDS,792,amnF_1,4.2.1.80,,2-oxopent-4-enoate hydratase
GMHGOCAD_03659,CDS,942,dmpF_1,1.2.1.10,,Acetaldehyde dehydrogenase
GMHGOCAD_03660,CDS,1035,dmpG,4.1.3.39,,4-hydroxy-2-oxovalerate aldolase
GMHGOCAD_03663,CDS,1419,tolC_4,,,Outer membrane protein TolC
GMHGOCAD_03664,CDS,2175,apxIB_2,,COG2274,Toxin RTX-I translocation ATP-binding protein
GMHGOCAD_03665,CDS,1269,cvaA_1,,COG0845,Colicin V secretion protein CvaA
GMHGOCAD_03671,CDS,1176,sasA_10,2.7.-.-,,Adaptive-response sensory-kinase SasA
GMHGOCAD_03672,CDS,813,rsbQ,,,Sigma factor SigB regulation protein RsbQ
GMHGOCAD_03674,CDS,660,cynT_2,4.2.1.1,COG0288,Carbonic anhydrase 1
GMHGOCAD_03677,CDS,942,chrB1,,,Protein ChrB
GMHGOCAD_03682,CDS,1281,gudP,,,putative glucarate transporter
GMHGOCAD_03684,CDS,912,gcvA_12,,,Glycine cleavage system transcriptional activator
GMHGOCAD_03685,CDS,1155,lldD,1.1.-.-,COG1304,L-lactate dehydrogenase
GMHGOCAD_03687,CDS,1149,patB,4.4.1.13,COG1168,Cystathionine beta-lyase PatB
GMHGOCAD_03688,CDS,1257,nicP_4,,,Porin-like protein NicP
GMHGOCAD_03689,CDS,1476,pchA,1.2.1.96,,4-hydroxybenzaldehyde dehydrogenase (NADP(+))
GMHGOCAD_03690,CDS,927,panE_1,1.1.1.169,COG1893,2-dehydropantoate 2-reductase
GMHGOCAD_03691,CDS,1392,pcaK_3,,COG0477,4-hydroxybenzoate transporter PcaK
GMHGOCAD_03692,CDS,1587,mdlC,4.1.1.7,,Benzoylformate decarboxylase
GMHGOCAD_03693,CDS,897,pcpR_4,,,PCP degradation transcriptional activation protein
GMHGOCAD_03696,CDS,510,fecI_7,,COG1595,putative RNA polymerase sigma factor FecI
GMHGOCAD_03697,CDS,984,fecR_4,,COG3712,Protein FecR
GMHGOCAD_03698,CDS,2427,fpvA_2,,COG4773,Ferripyoverdine receptor
GMHGOCAD_03699,CDS,945,rutD_2,3.5.1.-,,Putative aminoacrylate hydrolase RutD
GMHGOCAD_03700,CDS,1182,sotB_2,,,Sugar efflux transporter B
GMHGOCAD_03701,CDS,609,comR_2,,,HTH-type transcriptional repressor ComR
GMHGOCAD_03703,CDS,1056,iolE_2,4.2.1.44,,Inosose dehydratase
GMHGOCAD_03704,CDS,1746,nfdA_3,3.5.1.91,,N-substituted formamide deformylase
GMHGOCAD_03705,CDS,915,dmlR_17,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_03706,CDS,480,decR_1,,COG1522,DNA-binding transcriptional activator DecR
GMHGOCAD_03707,CDS,1260,mdeA,4.4.1.11,,L-methionine gamma-lyase
GMHGOCAD_03708,CDS,1134,braC_2,,COG0683,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein"
GMHGOCAD_03714,CDS,1401,spuC_3,2.6.1.113,COG0161,Putrescine--pyruvate aminotransferase
GMHGOCAD_03716,CDS,1491,puuC_2,1.2.1.5,COG1012,NADP/NAD-dependent aldehyde dehydrogenase PuuC
GMHGOCAD_03717,CDS,1164,argE_1,3.5.1.16,COG0624,Acetylornithine deacetylase
GMHGOCAD_03719,CDS,411,rutC_4,1.-.-.-,,Putative aminoacrylate peracid reductase RutC
GMHGOCAD_03721,CDS,1098,nspC,4.1.1.96,COG0019,Carboxynorspermidine/carboxyspermidine decarboxylase
GMHGOCAD_03732,CDS,729,lasR,,COG2771,Transcriptional activator protein LasR
GMHGOCAD_03733,CDS,879,hchA_2,3.1.2.-,COG0693,Protein/nucleic acid deglycase 1
GMHGOCAD_03738,CDS,642,gacA,,,Response regulator GacA
GMHGOCAD_03742,CDS,756,nadE_3,6.3.5.1,,Glutamine-dependent NAD(+) synthetase
GMHGOCAD_03744,CDS,1080,aroF_1,2.5.1.54,COG0722,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive"
GMHGOCAD_03745,CDS,282,ppiC_1,5.2.1.8,COG0760,Peptidyl-prolyl cis-trans isomerase C
GMHGOCAD_03746,CDS,1863,appA,,,Oligopeptide-binding protein AppA
GMHGOCAD_03747,CDS,1062,yejB_2,,COG4174,Inner membrane ABC transporter permease protein YejB
GMHGOCAD_03748,CDS,1023,yejE_2,,COG4239,Inner membrane ABC transporter permease protein YejE
GMHGOCAD_03749,CDS,1584,yejF_2,,COG4172,putative ABC transporter ATP-binding protein YejF
GMHGOCAD_03750,CDS,1419,norR_5,,,Anaerobic nitric oxide reductase transcription regulator NorR
GMHGOCAD_03752,CDS,774,bdhA_2,1.1.1.30,,D-beta-hydroxybutyrate dehydrogenase
GMHGOCAD_03753,CDS,1956,acsA_2,6.2.1.1,COG0365,Acetyl-coenzyme A synthetase
GMHGOCAD_03754,CDS,2553,rcsC_13,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_03755,CDS,276,ppiC_2,5.2.1.8,COG0760,Peptidyl-prolyl cis-trans isomerase C
GMHGOCAD_03756,CDS,963,kdgK_2,2.7.1.45,,2-dehydro-3-deoxygluconokinase
GMHGOCAD_03759,CDS,387,yabJ_2,3.5.99.10,COG0251,2-iminobutanoate/2-iminopropanoate deaminase
GMHGOCAD_03761,CDS,1434,rtcB_3,6.5.1.-,,RNA-splicing ligase RtcB
GMHGOCAD_03766,CDS,732,wecB,5.1.3.14,,UDP-N-acetylglucosamine 2-epimerase
GMHGOCAD_03769,CDS,981,sorC,,COG2390,Sorbitol operon regulator
GMHGOCAD_03771,CDS,1488,rbsA_2,7.5.2.7,COG1129,Ribose import ATP-binding protein RbsA
GMHGOCAD_03772,CDS,993,rbsC_3,,COG1172,Ribose import permease protein RbsC
GMHGOCAD_03773,CDS,1023,thpA,,COG1879,D-threitol-binding protein
GMHGOCAD_03774,CDS,759,golD,1.1.1.6,,NAD-dependent glycerol dehydrogenase
GMHGOCAD_03775,CDS,1119,eltD,1.1.1.-,COG1063,Erythritol/L-threitol dehydrogenase
GMHGOCAD_03776,CDS,1002,dhaK-2,2.7.1.121,COG2376,"PTS-dependent dihydroxyacetone kinase 2, dihydroxyacetone-binding subunit DhaK"
GMHGOCAD_03777,CDS,642,dhaL-2,2.7.1.121,COG2376,"PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL"
GMHGOCAD_03778,CDS,882,hcaR_1,,,Hca operon transcriptional activator HcaR
GMHGOCAD_03780,CDS,1542,stp_6,,,Multidrug resistance protein Stp
GMHGOCAD_03781,CDS,567,coaE_1,2.7.1.24,COG0237,Dephospho-CoA kinase
GMHGOCAD_03782,CDS,1062,thiO_1,1.4.3.19,COG0665,Glycine oxidase
GMHGOCAD_03783,CDS,2208,fpvA_3,,COG4773,Ferripyoverdine receptor
GMHGOCAD_03787,CDS,732,betI_4,,,HTH-type transcriptional regulator BetI
GMHGOCAD_03788,CDS,981,kshA,1.14.15.30,,"3-ketosteroid-9-alpha-monooxygenase, oxygenase component"
GMHGOCAD_03790,CDS,450,ptsN_2,,COG1762,Nitrogen regulatory protein
GMHGOCAD_03791,CDS,213,mopB,,COG2005,Molybdenum-pterin-binding protein MopB
GMHGOCAD_03792,CDS,1617,dap_2,3.4.11.19,,D-aminopeptidase
GMHGOCAD_03794,CDS,558,yyaP,,COG0262,putative protein YyaP
GMHGOCAD_03798,CDS,1335,proP_6,,,Proline/betaine transporter
GMHGOCAD_03799,CDS,1539,lcfB_1,6.2.1.3,COG0318,Long-chain-fatty-acid--CoA ligase
GMHGOCAD_03800,CDS,1215,fadA_3,2.3.1.16,,3-ketoacyl-CoA thiolase
GMHGOCAD_03805,CDS,759,tsaC1_2,1.2.1.62,,4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
GMHGOCAD_03806,CDS,1449,mpdC,1.2.1.98,,Hydroxyisobutyraldehyde dehydrogenase
GMHGOCAD_03807,CDS,1107,dmlA,1.1.1.83,COG0473,D-malate dehydrogenase [decarboxylating]
GMHGOCAD_03808,CDS,915,gltC_4,,,HTH-type transcriptional regulator GltC
GMHGOCAD_03813,CDS,1068,yjiA_1,3.6.-.-,COG0523,P-loop guanosine triphosphatase YjiA
GMHGOCAD_03816,CDS,414,cbiG,3.7.1.12,COG2073,Cobalt-precorrin-5A hydrolase
GMHGOCAD_03818,CDS,585,nfuA,,COG0316,Fe/S biogenesis protein NfuA
GMHGOCAD_03820,CDS,3711,metH,2.1.1.13,COG0646,Methionine synthase
GMHGOCAD_03824,CDS,1659,sir_2,1.8.7.1,COG0155,Sulfite reductase [ferredoxin]
GMHGOCAD_03826,CDS,1026,sohB,3.4.21.-,COG0616,putative protease SohB
GMHGOCAD_03829,CDS,1599,yejF_3,,COG4172,putative ABC transporter ATP-binding protein YejF
GMHGOCAD_03830,CDS,1020,yejE_3,,COG4239,Inner membrane ABC transporter permease protein YejE
GMHGOCAD_03831,CDS,1065,yejB_3,,COG4174,Inner membrane ABC transporter permease protein YejB
GMHGOCAD_03833,CDS,2901,btuB_6,,,Vitamin B12 transporter BtuB
GMHGOCAD_03834,CDS,2937,btuB_7,,,Vitamin B12 transporter BtuB
GMHGOCAD_03836,CDS,513,fecI_8,,COG1595,putative RNA polymerase sigma factor FecI
GMHGOCAD_03837,CDS,1719,fmt_3,2.1.2.9,,Methionyl-tRNA formyltransferase
GMHGOCAD_03840,CDS,1395,aam_3,3.5.1.13,COG0154,Acylamidase
GMHGOCAD_03841,CDS,1344,proP_7,,,Proline/betaine transporter
GMHGOCAD_03842,CDS,1347,oprD_3,3.4.21.-,,Porin D
GMHGOCAD_03843,CDS,906,cynR_5,,,HTH-type transcriptional regulator CynR
GMHGOCAD_03846,CDS,918,leuO_3,,,HTH-type transcriptional regulator LeuO
GMHGOCAD_03850,CDS,2562,uvrA_1,,COG0178,UvrABC system protein A
GMHGOCAD_03852,CDS,2112,rcsC_14,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_03856,CDS,3141,dnaE2,2.7.7.7,,Error-prone DNA polymerase
GMHGOCAD_03857,CDS,1416,imuB,,,Protein ImuB
GMHGOCAD_03859,CDS,618,lexA_2,3.4.21.88,,LexA repressor
GMHGOCAD_03865,CDS,885,yfeX_1,1.11.1.-,COG2837,Dye-decolorizing peroxidase YfeX
GMHGOCAD_03872,CDS,1626,gapN,1.2.1.9,COG1012,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
GMHGOCAD_03874,CDS,1206,moeA_2,2.10.1.1,COG0303,Molybdopterin molybdenumtransferase
GMHGOCAD_03875,CDS,540,moaB_2,,COG0521,Molybdenum cofactor biosynthesis protein B
GMHGOCAD_03877,CDS,894,hdfR_8,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_03879,CDS,456,moaE_2,2.8.1.12,COG0314,Molybdopterin synthase catalytic subunit
GMHGOCAD_03880,CDS,252,moaD_2,,COG1977,Molybdopterin synthase sulfur carrier subunit
GMHGOCAD_03881,CDS,501,moaC_2,4.6.1.17,COG0315,Cyclic pyranopterin monophosphate synthase
GMHGOCAD_03883,CDS,999,moaA_3,4.1.99.22,,"GTP 3',8-cyclase"
GMHGOCAD_03886,CDS,1017,appB,7.1.1.3,COG1294,Cytochrome bd-II ubiquinol oxidase subunit 2
GMHGOCAD_03889,CDS,975,yfeX_2,1.11.1.-,COG2837,Dye-decolorizing peroxidase YfeX
GMHGOCAD_03890,CDS,2271,ydeP_2,,COG0243,Protein YdeP
GMHGOCAD_03892,CDS,438,lrpC_1,,COG1522,HTH-type transcriptional regulator LrpC
